"REF_DATE","GEO","DGUID","Institutional sector","Asset","Dwelling type","Housing Type","Prices","Estimate","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","383","","","","0"
"2005","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","622","","","","0"
"2006","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","524","","","","0"
"2007","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","424","","","","0"
"2008","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","421","","","","0"
"2009","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1309","","","","0"
"2010","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","836","","","","0"
"2011","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","762","","","","0"
"2012","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1263","","","","0"
"2013","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1392","","","","0"
"2014","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1627","","","","0"
"2015","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1836","","","","0"
"2016","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1524","","","","0"
"2017","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1545","","","","0"
"2018","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1492","","","","0"
"2019","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1512","","","","0"
"2020","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1727","","","","0"
"2021","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","2194","","","","0"
"2022","Canada","2021A000011124","Non-profit institutions serving households","Total residential construction","Total dwelling type","Total housing type","Constant dollars","Investment","Dollars","81","millions","6","v1478193408","1.6.1.1.1.2.1","1894","","","","0"


